 ,Label,Area,Mean,StdDev,Min,Max
570,mask,281,255,0,255,255
571,mask,251,255,0,255,255
572,mask,317,255,0,255,255
573,mask,298,255,0,255,255
574,mask,308,255,0,255,255
575,mask,391,255,0,255,255
576,mask,329,255,0,255,255
577,mask,397,255,0,255,255
578,mask,253,255,0,255,255
579,mask,341,255,0,255,255
580,mask,251,255,0,255,255
581,mask,225,255,0,255,255
582,mask,272,255,0,255,255
583,mask,255,255,0,255,255
584,mask,223,255,0,255,255
585,mask,327,255,0,255,255
586,mask,241,255,0,255,255
587,mask,282,255,0,255,255
588,mask,381,255,0,255,255
589,mask,337,255,0,255,255
590,mask,418,255,0,255,255
591,mask,238,255,0,255,255
592,mask,249,255,0,255,255
593,mask,233,255,0,255,255
594,mask,144,255,0,255,255
595,mask,164,255,0,255,255
596,mask,202,255,0,255,255
597,mask,259,255,0,255,255
598,mask,299,255,0,255,255
599,mask,393,255,0,255,255
600,mask,286,255,0,255,255
601,mask,411,255,0,255,255
602,mask,294,255,0,255,255
603,mask,350,255,0,255,255
604,mask,495,255,0,255,255
605,mask,338,255,0,255,255
606,mask,343,255,0,255,255
607,mask,298,255,0,255,255
608,mask,492,255,0,255,255
609,mask,417,255,0,255,255
610,mask,373,255,0,255,255
611,mask,323,255,0,255,255
612,mask,280,255,0,255,255
613,mask,434,255,0,255,255
614,mask,298,255,0,255,255
615,mask,272,255,0,255,255
616,mask,338,255,0,255,255
617,mask,361,255,0,255,255
618,mask,253,255,0,255,255
619,mask,356,255,0,255,255
620,mask,403,255,0,255,255
621,mask,226,255,0,255,255
622,mask,311,255,0,255,255
623,mask,327,255,0,255,255
624,mask,344,255,0,255,255
625,mask,315,255,0,255,255
626,mask,284,255,0,255,255
627,mask,445,255,0,255,255
628,mask,440,255,0,255,255
629,mask,54,255,0,255,255
630,mask,306,255,0,255,255
631,mask,314,255,0,255,255
632,mask,277,255,0,255,255
633,mask,151,255,0,255,255
634,mask,303,255,0,255,255
635,mask,314,255,0,255,255
636,mask,153,255,0,255,255
637,mask,246,255,0,255,255
638,mask,248,255,0,255,255
639,mask,198,255,0,255,255
640,mask,398,255,0,255,255
641,mask,273,255,0,255,255
642,mask,236,255,0,255,255
643,mask,483,255,0,255,255
644,mask,200,255,0,255,255
645,mask,279,255,0,255,255
646,mask,332,255,0,255,255
647,mask,356,255,0,255,255
648,mask,277,255,0,255,255
649,mask,242,255,0,255,255
650,mask,336,255,0,255,255
651,mask,311,255,0,255,255
652,mask,296,255,0,255,255
653,mask,263,255,0,255,255
654,mask,377,255,0,255,255
655,mask,162,255,0,255,255
656,mask,278,255,0,255,255
657,mask,308,255,0,255,255
658,mask,359,255,0,255,255
659,mask,364,255,0,255,255
660,mask,274,255,0,255,255
661,mask,119,255,0,255,255
662,mask,480,255,0,255,255
663,mask,266,255,0,255,255
664,mask,327,255,0,255,255
665,mask,316,255,0,255,255
666,mask,418,255,0,255,255
667,mask,310,255,0,255,255
668,mask,279,255,0,255,255
669,mask,281,255,0,255,255
670,mask,122,255,0,255,255
671,mask,362,255,0,255,255
672,mask,458,255,0,255,255
673,mask,353,255,0,255,255
674,mask,278,255,0,255,255
675,mask,318,255,0,255,255
676,mask,291,255,0,255,255
677,mask,278,255,0,255,255
678,mask,202,255,0,255,255
679,mask,308,255,0,255,255
680,mask,302,255,0,255,255
681,mask,231,255,0,255,255
682,mask,299,255,0,255,255
683,mask,314,255,0,255,255
684,mask,297,255,0,255,255
685,mask,286,255,0,255,255
686,mask,474,255,0,255,255
687,mask,292,255,0,255,255
688,mask,281,255,0,255,255
689,mask,321,255,0,255,255
690,mask,201,255,0,255,255
691,mask,384,255,0,255,255
692,mask,372,255,0,255,255
693,mask,295,255,0,255,255
694,mask,272,255,0,255,255
695,mask,275,255,0,255,255
696,mask,369,255,0,255,255
697,mask,365,255,0,255,255
698,mask,393,255,0,255,255
699,mask,264,255,0,255,255
700,mask,357,255,0,255,255
701,mask,416,255,0,255,255
702,mask,321,255,0,255,255
703,mask,295,255,0,255,255
704,mask,308,255,0,255,255
705,mask,455,255,0,255,255
706,mask,339,255,0,255,255
707,mask,273,255,0,255,255
708,mask,294,255,0,255,255
709,mask,323,255,0,255,255
710,mask,40,255,0,255,255
711,mask,297,255,0,255,255
712,mask,292,255,0,255,255
713,mask,270,255,0,255,255
714,mask,363,255,0,255,255
715,mask,381,255,0,255,255
716,mask,323,255,0,255,255
717,mask,309,255,0,255,255
718,mask,298,255,0,255,255
719,mask,193,255,0,255,255
720,mask,472,255,0,255,255
721,mask,410,255,0,255,255
722,mask,471,255,0,255,255
723,mask,244,255,0,255,255
724,mask,26,255,0,255,255
725,mask,377,255,0,255,255
726,mask,256,255,0,255,255
727,mask,283,255,0,255,255
728,mask,295,255,0,255,255
729,mask,403,255,0,255,255
730,mask,38,255,0,255,255
731,mask,327,255,0,255,255
732,mask,265,255,0,255,255
733,mask,323,255,0,255,255
734,mask,265,255,0,255,255
735,mask,204,255,0,255,255
736,mask,320,255,0,255,255
737,mask,179,255,0,255,255
738,mask,299,255,0,255,255
739,mask,318,255,0,255,255
740,mask,370,255,0,255,255
741,mask,421,255,0,255,255
742,mask,203,255,0,255,255
743,mask,289,255,0,255,255
744,mask,298,255,0,255,255
745,mask,361,255,0,255,255
746,mask,282,255,0,255,255
747,mask,309,255,0,255,255
748,mask,334,255,0,255,255
749,mask,47,255,0,255,255
750,mask,248,255,0,255,255
751,mask,317,255,0,255,255
752,mask,292,255,0,255,255
753,mask,416,255,0,255,255
754,mask,435,255,0,255,255
755,mask,246,255,0,255,255
756,mask,282,255,0,255,255
757,mask,460,255,0,255,255
758,mask,309,255,0,255,255
759,mask,106,255,0,255,255
760,mask,224,255,0,255,255
761,mask,298,255,0,255,255
762,mask,299,255,0,255,255
763,mask,351,255,0,255,255
764,mask,280,255,0,255,255
765,mask,330,255,0,255,255
766,mask,279,255,0,255,255
767,mask,281,255,0,255,255
768,mask,269,255,0,255,255
769,mask,260,255,0,255,255
770,mask,274,255,0,255,255
771,mask,244,255,0,255,255
772,mask,317,255,0,255,255
773,mask,355,255,0,255,255
774,mask,299,255,0,255,255
775,mask,330,255,0,255,255
776,mask,288,255,0,255,255
777,mask,259,255,0,255,255
778,mask,371,255,0,255,255
779,mask,262,255,0,255,255
780,mask,327,255,0,255,255
781,mask,386,255,0,255,255
782,mask,104,255,0,255,255
783,mask,285,255,0,255,255
784,mask,389,255,0,255,255
785,mask,361,255,0,255,255
786,mask,475,255,0,255,255
787,mask,293,255,0,255,255
788,mask,290,255,0,255,255
789,mask,417,255,0,255,255
790,mask,439,255,0,255,255
791,mask,340,255,0,255,255
792,mask,278,255,0,255,255
793,mask,353,255,0,255,255
794,mask,304,255,0,255,255
795,mask,288,255,0,255,255
796,mask,358,255,0,255,255
797,mask,334,255,0,255,255
798,mask,465,255,0,255,255
799,mask,460,255,0,255,255
800,mask,280,255,0,255,255
801,mask,268,255,0,255,255
802,mask,322,255,0,255,255
803,mask,308,255,0,255,255
804,mask,278,255,0,255,255
805,mask,276,255,0,255,255
806,mask,302,255,0,255,255
807,mask,369,255,0,255,255
808,mask,266,255,0,255,255
809,mask,285,255,0,255,255
810,mask,274,255,0,255,255
811,mask,276,255,0,255,255
812,mask,270,255,0,255,255
813,mask,306,255,0,255,255
814,mask,298,255,0,255,255
815,mask,284,255,0,255,255
816,mask,305,255,0,255,255
817,mask,298,255,0,255,255
818,mask,403,255,0,255,255
819,mask,359,255,0,255,255
820,mask,249,255,0,255,255
821,mask,366,255,0,255,255
822,mask,345,255,0,255,255
823,mask,272,255,0,255,255
824,mask,287,255,0,255,255
825,mask,313,255,0,255,255
